originLocationCode,destinationLocationCode
FUE,LEJ
TPS,ROM
YYC,BOS
SIP,NYM
LAS,BFL
MXP,AMS
BOD,AMS
JER,BFS
ETZ,CMN
NDJ,CAI
GDL,SJC
GRU,ARU
JFK,GUA
PRG,ROM
DUB,JER
FLR,LON
SID,BVC
NCE,LBA
BZN,DTT
SFO,SQL
CTS,HKG
DTW,STE
ATL,ORL
ITM,SDJ
FUE,STR
SNA,SEA
MDW,OMA
MAA,VTZ
DTM,OPO
MSP,BEH
DAY,DTT
PDX,SFO
SDU,NVT
STN,CHQ
BGM,BOS
ZRH,BOM
MNL,PNH
KHI,LHE
YVR,YZZ
SZG,DXB
CLE,SRQ
ONT,CHI
SYR,MYR
BSB,SCL
BOM,JAI
RFD,DTT
MAA,IXE
LKO,AUH
PHL,YTO
BTV,CLT
COK,PAT
TPE,WUH
ELM,PGD
NAP,IBZ
TPS,MIL
AMS,GLA
CGN,KGS
PEK,WAS
CAN,HZA
LTN,VNO
XMN,WUX
DXB,SZG
DEL,SXR
NQY,ZRH
SEA,BUR
IDA,SAN
ATH,BRI
MAN,LHE
JNG,CGQ
CUN,FLL
LGG,MEX
TLS,AJA
CPH,HAJ
SVX,HTA
MIA,SAL
GLA,LPA
AER,VOZ
CTS,MNL
VLC,BER
SCE,PHL
CMN,VCE
KGD,VOG
FNA,CKY
KVA,CGN
HEL,WAW
AOI,TIA
DAR,DOD
CKG,AVA
YXJ,YEA
YFB,YGT
MXP,FPO
LNS,PIT
STL,PAH
CMB,MLE
TLV,BCN
DXB,TUU
PEK,ULN
BOI,SAN
DEN,ZRH
LAS,DTA
LPA,BRS
IST,SIN
CGN,ADA
YUL,YGW
LED,KSQ
CAN,PNH
RHO,EIN
TAO,NNY
CMB,BLR
PVG,DFW
MUC,JTR
GRU,NYC
DMK,SHA
SLA,PTY
KUF,AYT
DEN,BTV
LIM,TGI
YUL,SAO
ERS,OND
LIT,HOU
SVO,TCI
NCE,AJA
RIX,LPX
INV,MAN
LIM,SAL
BCN,HRK
BTU,KUL
ATL,ATW
MSP,HYR
BWI,NYC
CNF,RIO
MRS,FAO
KGD,AYT
GWT,PAD
DTW,MTO
DLC,TNH
IST,WAS
ATL,GWO
WAW,DSA
FRU,ALA
SGF,ATL
CJC,CCP
ASR,FDH
SGF,STL
CTU,JJN
ODS,MSQ
AHO,VIE
MXP,JMK
OKC,LAX
TFS,NUE
SBN,DFW
LMM,MEX
BNA,RDU
IAH,PUJ
BOG,PDA
WUH,HRB
BWI,LIR
JFK,PBI
SVO,ALA
KGS,BHX
CAE,MIA
SRQ,DTT
NRT,KMJ
HKG,HEL
DEN,LAX
ZRH,TLL
IKT,BAX
JED,KBL
MZT,GDL
TLV,DNK
EVN,LCA
FIH,EBB
POS,SXM
FCO,SSH
LAS,SBD
HEL,ZRH
LXR,HRG
ROV,KUF
LCY,RTM
LHR,BNA
TSN,KWL
AYT,AMM
DAB,ORL
MDC,NAH
MIA,BGR
VNO,LWO
BRU,NCE
CDG,TSN
PEK,WEH
OSL,SOG
NTL,SYD
NCL,LCA
FLL,GHB
MCZ,SSA
DME,SZG
HRB,WNZ
ATL,FSD
SVQ,LCG
VIE,GOT
BUD,LUX
BFS,VNO
SCU,KIN
SMF,CLT
MUC,MCT
LGA,BLM
ATH,JTR
SJD,ATL
SZX,AEB
VLD,ORL
VKO,ZAG
MAD,RIO
YDF,YHZ
MCE,LAS
BRI,PVK
ATL,UBS
YTZ,YHZ
BRU,SPC
ZRH,BRE
MMJ,OSA
ORD,EVV
BOO,KRS
FLL,SXM
LAX,TPE
AGP,IEV
MUC,AGP
GVA,FRA
SYR,CLT
